COD.ART,DESCRIPTION,BARCODE,
NE04813.48,Tole Single Towel Rail 350mm Matt Bronze PVD,9340379092444,
NE04813.50,Tole Single Towel Rail 350mm Fucile PVD,9340379092642,
NE04822,Tole Double Towel Rail 650mm Chrome,9340379000845,
NE04822.02,Tole Double Towel Rail 650mm Chrome,9340379091591,
NE04822.41,Tole Double Towel Rail 650mm Brushed Nickel PVD,9340379091768,
NE04822.46,Tole Double Towel Rail 650mm Brushed Brass PVD,9340379091980,
NE04822.48,Tole Double Towel Rail 650mm Matt Bronze PVD,9340379092406,
NE04822.50,Tole Double Towel Rail 650mm Fucile PVD,9340379092628,
NE069,L'Hotel Wall Mounted Soap Dispenser (Bottom Press) 250ml,9340379009237,
NE069A,L'Hotel Wall Mounted Shower Soap Dispenser (Bottom Press) 500ml,9340379029990,
NE160,Quadro Semi Circular Wire Shelf,9340379009343,
NE168,L'Hotel Recessed Soap Dispenser,9340379009268,
NE168.41,L'Hotel Recessed Soap Dispenser Brushed Nickel,9340379003419,
NE168.46,L'Hotel Recessed Soap Dispenser Brushed Brass PVD,9340379090020,
NE168.50,L'Hotel Recessed Soap Dispenser Brushed Fucile PVD,9340379090136,
NE169,L'Hotel Wall Mounted Soap Dispenser,9340379009244,
NE185,Tondo Round Magnifying Mirror with Light ,9340379010394,
NE185.02,Tondo Round Magnifying Mirror with Light Matt Black,9340379007646,
NE185.41,Tondo Round Magnifying Mirror with Light Brushed Nickel PVD,9340379007653,
NE185.46,Tondo Round Magnifying Mirror with Light Brushed Brass PVD,9340379007639,
NE185.50,Tondo Round Magnifying Mirror with Light Fucile,9340379007660,
NE268,Quadro Basin Soap Dispenser,9340379009275,
NE26S,Hotel spare toilet roll holder,9340379094899,
NE281,Tondo Freestanding Toilet Roll Holder & Brush Set,9340379009282,
NE283,L'Hotel Shower Squeegee with Glass Screen Mounting Bracket,9340379008964,
NE360,Quadro Corner Wire Shelf (LH),9340379009350,
NE372-HO,Quadro Toilet Brush with Handle Only,9340379089789,
NE38,Bracket for L'Hotel Glass Mounted Shower Squeegee,9340379003518,
NE381,Quadro Freestanding Double Towel Holder,9340379009299,
NE383,L'Hotel Shower Squeegee with Wall Mounting Bracket,9340379009374,
NE460,Quadro Corner Wire Shelf (RH),9340379009367,
NE481,Quadro Freestanding Toilet Roll Holder & Brush Set,9340379009305,
NE569,Quadro Wall Mounted Soap Dispenser,9340379009251,
NE672,L'Hotel Wall Mounted Toilet Brush Holder,9340379009329,
NE672.02,L'Hotel Wall Mounted Toilet Brush Holder Matt Black,9340379010271,
NE672.41,L'Hotel Wall Mounted Toilet Brush Holder Brushed Nickel PVD,9340379018956,
NE672.46,L'Hotel Wall Mounted Toilet Brush Holder Brushed Brass PVD,9340379018963,
NE672.50,L'Hotel Wall Mounted Toilet Brush Holder Fucile,9340379003716,
NE672-HO,L'Hotel Toilet Brush with Handle Only,9340379003501,
NE704,L'Hotel Wall Mounted Magnifying Mirror,9340379008971,
NE705,Envy Wall Mounted Magnifying Mirror,9340379010004,
NE705.02,Envy Wall Mounted Magnifying Mirror Matt Black,9340379010011,
NE706,L'Hotel Wall Mounted Magnifying Mirror,9340379099269,
NE706.48,L'Hotel Wall Mounted Magnifying Mirror Matt Bronze PVD,9340379099276,
NE706.50,L'Hotel Wall Mounted Magnifying Mirror Fucile,9340379000937,
NE70A,L'Hotel Freestanding Soap Dispenser,9340379009220,
NE734,L'Hotel Square Magnifying Mirror with Light,9340379008988,
NE785,L'Hotel Round Magnifying Mirror with Light ,9340379094905,
NE969,Tondo Wall Mounted Shower Soap Dispenser,9340379010165,
NE969.02,Tondo Wall Mounted Shower Soap Dispenser Matt Black,9340379091614,
NE969.41,Tondo Wall Mounted Shower Soap Dispenser Brushed Nickel PVD,9340379092086,
NE969.46,Tondo Wall Mounted Shower Soap Dispenser Brushed Brass PVD,9340379092000,
NE969.48,Tondo Wall Mounted Shower Soap Dispenser Matt Bronze PVD,9340379092390,
NE969.50,Tondo Wall Mounted Shower Soap Dispenser Fucile,9340379092598,
NE981,Tondo Freestanding Double Towel Holder,9340379009312,
NF0954,Recessed Mixer Body,9340379015832,
NI-100-SGWW,Niky Console 100 Solid Surface (SGW) w/Timber Legs (Bowl Opt. Extra) ,9340379014255,
O-1000-GW,Oliver 1000 Floor Mounted Cabinet (GW) w/ Marble Top (W),9340379013401,
OL.00.TT,Ovo Lever Handle for Basin Mixer (Tilt/Turn),9340379002597,
OL.00W.TT,Ovo Lever Handle for Wall Mixer (Tilt/Turn),9340379002603,
OL.01-2O160-D,Dress Fittings for Ovo Lever Wall Mixer with 160mm Spout,9340379028665,
OL.01-2O190-D,Dress Fittings for Ovo Lever Wall Mixer with 190mm Spout,9340379028672,
OL.04-D2O-D,Dress Fittings for Ovo Lever Diverter Mixer (2-Way),9340379028627,
OL.04-D3O-D,Dress Fittings for Ovo Lever Diverter Mixer (3-Way),9340379028634,
OL.05O-D,Dress Fittings for Ovo Lever Bath/Shower Mixer,9340379028580,
OL.05R-D,Dress Fittings for Ovo Lever Bath/Shower Mixer,9340379028597,
OV.00.CH20,Ovo Wall Top Assemblies (Pair) High Base,9340379089031,
OV.00.TT,Ovo Handle for Basin Mixer (Tilt/Turn),9340379004171,
OV.00W.CH,Ovo Top Assemblies Only,9340379001842,
OV.00W.PR,Ovo Wall Mixer Handle (Progressive),9340379001712,
OV.00W.TT,Ovo Wall Mixer Handle (Tilt/Turn),9340379089017,
OV.01-1H,Ovo Basin Mixer,9340379001699,
OV.01-1HB,Ovo Bidet Mixer,9340379002610,
OV.01-1HT,Ovo Twinner Basin Mixer,9340379001682,
OV.01-2O160-D,Dress Fittings for Ovo Wall Mixer with 160mm Spout,9340379028689,
OV.01-2O190-D,Dress Fittings for Ovo Wall Mixer with 190mm Spout,9340379028696,
OV.01-3HS,Ovo Basin/Bath Set with Swivel Spout,9340379002573,
OV.02HS,Ovo Basin/Bath Swivel Spout (suits 3 piece tapware applications),9340379001613,
OV.02HS250,Ovo Basin/Bath Swivel Spout 250mm (suits hob mixer applications),9340379089055,
OV.02W.160,Ovo Wall Spout for Basin/Bath Mixer Set 160mm,9340379000883,
OV.02W.190,Ovo Wall Spout for Basin/Bath Mixer Set 190mm,9340379000890,
OV.02WF.160,Ovo Wall Spout 160mm,9340379000449,
OV.02WF.190,Ovo Wall Spout 190mm,9340379000456,
OV.03-4HWS,Ovo Bath Mixer Tap Set with Hand Shower (No Spout),9340379001644,
OV.04-D2O-D,Dress Fittings for Ovo Diverter Mixer (2-Way),9340379028641,
OV.04-D3O,Ovo Wall Mixer with 3-Way Diverter,9340379028658,
OV.05O-D,Dress Fittings for Ovo Bath/Shower Mixer,9340379028603,
OV.05R-D,Dress Fittings for Ovo Bath/Shower Mixer on Round Large Plate,9340379028610,
OV.06-1H,Ovo Hob Mixer,9340379004195,
OV.06-2HS,Ovo Mixer with Swivel Spout,9340379001620,
OV.HS,Ovo Hand Shower with Hose,9340379089024,
OV.SA.1C,Ovo Ceiling Shower Arm 200mm,9340379008865,
OV.SA.1W,Ovo Wall Shower Arm 400mm,9340379008872,
OV.SH.A300,Ovo Shower Head 300mm (ABS),9340379089093,
OV.SH.B300,Ovo Shower Head 300mm (Brass),9340379009664,
OV.SH.S300T,Ovo Shower Head 300mm (Polished Stainless Steel) Turbo,9340379008704,
OV.SP.LB,Ovo Shower Connector,9340379009565,
OV.SR,Ovo Sliding Rail with Hand Shower,9340379089048,
OX.06-1H,Ovo Hob Mixer (No handle),9340379089062,
P1.08-D2W,Envy II Shower Column with Button Sliding Rail,9340379092888,
P1.SR,Envy II Sliding Rail with Button Slider & Hand Shower,9340379029495,
P2.00.A,Envy II Basin Mixer Handle,9340379024391,
P2.00.A.02,Envy II Basin Mixer Handle,9340379024773,
P2.00.A.41,Envy II Basin Mixer Handle,9340379024742,
P2.00.A.46,Envy II Basin Mixer Handle,9340379024766,
P2.00.A.48,Envy II Basin Mixer Handle,9340379024780,
P2.00.A.50,Envy II Basin Mixer Handle,9340379024759,
P2.00.B,Envy II Wall Mixer Handle ,9340379022175,
P2.00.B.02,Envy II Wall Mixer Handle ,9340379022342,
P2.00.B.41,Envy II Wall Mixer Handle ,9340379022779,
P2.00.B.46,Envy II Wall Mixer Handle ,9340379022762,
P2.00.B.48,Envy II Wall Mixer Handle ,9340379022243,
P2.00.B.50,Envy II Wall Mixer Handle ,9340379022182,
P2.00.C.41,Envy II Accessible Basin Mixer Handle Brushed Nickel PVD,9340379021727,
P2.00.CH,Envy II Top Assemblies,9340379092871,
P2.00.CH.02,Envy II Top Assemblies Matt Black,9340379026692,
P2.00.CH.41,Envy II Top Assemblies Brushed Nickel PVD,9340379027231,
P2.00.CH.46,Envy II Top Assemblies Brushed Brass PVD,9340379026968,
P2.00.CH.48,ENVY II Top Assemblies,9340379022168,
P2.00.CH.50,Envy II Top Assemblies Fucile PVD,9340379027507,
P2.00W.CH.41,Envy II Top Assemblies Only Brushed Nickel PVD,9340379093007,
P2.00W.CH.46,Envy II Top Assemblies Only Brushed Brass PVD,9340379093090,
P2.00W.CH.48,Envy II Top Assemblies Only Matt Bronze PVD,9340379093144,
P2.01-1H,Envy II Basin Mixer,9340379092864,
P2.01-1H.02,Envy II Basin Mixer Matt Black,9340379026708,
P2.01-1H.31,Envy II Basin Mixer Brushed Chrome PVD,9340379008643,
P2.01-1H.41,Envy II Basin Mixer Brushed Nickel PVD,9340379027248,
P2.01-1H.46,Envy II Basin Mixer Brushed Brass PVD,9340379026975,
P2.01-1H.48,ENVY II Basin Mixer,9340379024476,
P2.01-1H.50,Envy II Basin Mixer Fucile PVD,9340379027514,
P2.01-1H.52,Envy II Basin Mixer Antique Bronze,9340379021857,
P2.01-1HD,Envy II Basin Mixer with Extended Lever,9340379029709,
P2.01-1HD.02,Envy II Basin Mixer with Extended Lever Matt Black,9340379026715,
P2.01-1HD.41,Envy II Basin Mixer with Extended Lever Brushed Nickel PVD,9340379027255,
P2.01-1HD.46,Envy II Basin Mixer with Extended Lever Brushed Brass PVD,9340379026982,
P2.01-1HD.48,Envy II Basin Mixer with Extended Lever,9340379022298,
P2.01-1HD.50,Envy II Basin Mixer with Extended Lever Fucile PVD,9340379027521,
P2.01-1HH120,Envy II High Basin Mixer,9340379020850,
P2.01-1HH120.02,Envy II High Basin Mixer Matt Black,9340379099139,
P2.01-1HH120.41,Envy II High Basin Mixer Brushed Nickel PVD,9340379099146,
P2.01-1HH120.46,Envy II High Basin Mixer Brushed Brass PVD,9340379099153,
P2.01-1HH120.50,Envy II High Basin Mixer Fucile PVD,9340379099160,
P2.01-2E190-D,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Elliptical Plate,9340379095124,
P2.01-2E190-D.02,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Elliptical Plate Matt Black,9340379096169,
P2.01-2E190-D.41,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Elliptical Plate Brushed Nickel PVD,9340379096145,
P2.01-2E190-D.46,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Elliptical Plate Brushed Brass PVD,9340379095131,
P2.01-2E190-D.48,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Elliptical Plate Matt Bronze PVD,9340379093137,
P2.01-2E190-D.50,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Elliptical Plate Fucile PVD,9340379096152,
P2.01-2Q190-D,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Rectangular Plate,9340379029730,
P2.01-2Q190-D.02,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Rectangular Plate Matt Black,9340379026746,
P2.01-2Q190-D.31,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Rectangular Plate Brushed Chrome PVD,9340379008667,
P2.01-2Q190-D.41,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Rectangular Plate Brushed Nickel PVD,9340379027286,
P2.01-2Q190-D.46,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Rectangular Plate Brushed Brass PVD,9340379027019,
P2.01-2Q190-D.48,Dress Fittings For ENVY II Wall Mixer with 190mm Spout on Rectangle Plate,9340379024520,
P2.01-2Q190-D.50,Dress Fittings For Envy II Wall Mixer with 190mm Spout on Rectangular Plate Fucile PVD,9340379027552,
P2.01-2RF190-D,Dress Fittings For Envy II Wall Mixer with 190mm Spout (Individual Flanges),9340379029747,
P2.01-2RF190-D.02,Dress Fittings For Envy II Wall Mixer with 190mm Spout (Individual Flanges) Matt Black,9340379026753,
P2.01-2RF190-D.41,Dress Fittings For Envy II Wall Mixer with 190mm Spout (Individual Flanges) Brushed Nickel PVD,9340379027293,
P2.01-2RF190-D.46,Dress Fittings For Envy II Wall Mixer with 190mm Spout (Individual Flanges) Brushed Brass PVD,9340379027026,
P2.01-2RF190-D.48,Dress Fittings for Envy II Wall Mixer w/190mm Spout(Ind Flanges)Matt Bronze,9340379093120,
P2.01-2RF190-D.50,Dress Fittings For Envy II Wall Mixer with 190mm Spout (Individual Flanges) Fucile PVD,9340379027569,
P2.01-2RF190-D.52,Dress Fittings For Envy II Wall Mixer with 190mm Spout (Individual Flanges) Antique Bronze,9340379021758,
P2.01-2RF190-NA-D.48,Dress Fittings For ENVY II Wall Mixer with 190mm Spout (Individual Flanges),9340379024599,
P2.01-EXT120,Extension Kit 120mm for Envy II Basin Mixer,9340379029723,
P2.01-EXT120.02,Extension Kit 120mm for Envy II Basin Mixer Matt Black,9340379026739,
P2.01-EXT120.41,Extension Kit 120mm for Envy II Basin Mixer Brushed Nickel PVD,9340379027279,
P2.01-EXT120.46,Extension Kit 120mm for Envy II Basin Mixer Brushed Brass PVD,9340379027002,
P2.01-EXT120.48,Extension Kit 120cm for ENVY II Basin Mixer,9340379022205,
P2.01-EXT120.50,Extension Kit 120mm for Envy II Basin Mixer Fucile PVD,9340379027545,
P2.01-EXT60,Extension Kit 60mm for Envy II Basin Mixer,9340379029716,
P2.01-EXT60.02,Extension Kit 60mm for Envy II Basin Mixer Matt black,9340379026722,
P2.01-EXT60.41,Extension Kit 60mm for Envy II Basin Mixer Brushed Nickel PVD,9340379027262,
P2.01-EXT60.46,Extension Kit 60mm for Envy II Basin Mixer Brushed Brass PVD,9340379026999,
P2.01-EXT60.48,Extension Kit 60cm for ENVY II Basin Mixer,9340379022670,
P2.01-EXT60.50,Extension Kit 60mm for Envy II Basin Mixer Fucile PVD,9340379027538,
P2.02WF190,Envy II Wall Bath Spout 190mm,9340379029754,
P2.02WF190.02,Envy II Wall Bath Spout 190mm Matt Black,9340379026760,
P2.02WF190.41,Envy II Wall Bath Spout 190mm Brushed Nickel PVD,9340379027309,
P2.02WF190.46,Envy II Wall Bath Spout 190mm Brushed Brass PVD,9340379027033,
P2.02WF190.48,Envy II Wall Spout 190mm,9340379022229,
P2.02WF190.50,Envy II Wall Bath Spout 190mm Fucile PVD,9340379027576,
P2.04-D,Dress Fittings For Envy II Wall Mixer with 2-Way Diverter,9340379029761,
P2.04-D.02,Dress Fittings For Envy II Wall Mixer with 2-Way Diverter Matt Black,9340379026777,
P2.04-D.41,Dress Fittings For Envy II Wall Mixer with 2-Way Diverter Brushed Nickel PVD,9340379027316,
P2.04-D.46,Dress Fittings For Envy II Wall Mixer with 2-Way Diverter Brushed Brass PVD,9340379027040,
P2.04-D.48,Dress Fittings For ENVY II Wall Mixer with 2-Way Diverter,9340379024407,
P2.04-D.50,Dress Fittings For Envy II Wall Mixer with 2-Way Diverter Fucile PVD,9340379027583,
P2.04-D.52,Dress Fittings For Envy II Wall Mixer with 2-Way Diverter Antique Bronze,9340379021802,
P2.05-D,Dress Fittings for Envy II Wall Mixer,9340379029778,
P2.05-D.02,Dress Fittings for Envy II Wall Mixer Matt Black,9340379026784,
P2.05-D.31,Dress Fittings for Envy II Wall Mixer Brushed Chrome PVD,9340379008650,
P2.05-D.41,Dress Fittings for Envy II Wall Mixer Brushed Nickel PVD,9340379027323,
P2.05-D.46,Dress Fittings for Envy II Wall Mixer Brushed Brass PVD,9340379027057,
P2.05-D.48,Dress Fittings for ENVY II Wall Mixer,9340379024445,
P2.05-D.50,Dress Fittings for Envy II Wall Mixer Fucile PVD,9340379027590,
P2.05-D.52,Dress Fittings for Envy II Wall Mixer Antique Bronze,9340379021819,
P2.05WD.02,Envy II Accessible Wall Mixer Matt Black,9340379092918,
P2.05WD-D,Dress Fittings for Envy II Accessible Wall Mixer,9340379020997,
P2.05WD-D.02,Dress Fittings for Envy II Accessible Wall Mixer Matt Black,9340379021000,
P2.05WD-D.41,Dress Fittings for Envy II Accessible Wall Mixer Brushed Nickel,9340379021017,
P2.05WD-D.46,Dress Fittings for Envy II Accessible Wall Mixer Brushed Brass,9340379021024,
P2.05WD-D.48,Dress Fittings for Envy II Accessible Wall Mixer Matt Bronze,9340379093113,
P2.05WD-D.50,Dress Fittings for Envy II Accessible Wall Mixer Fucile PVD,9340379021031,
P2.06-2HSC,Envy II Hob Mixer with Round Swivel Spout,9340379095193,
P2.06-2HSC.02,Envy II Hob Mixer with Round Swivel Spout Matt Black,9340379095209,
P2.06-2HSC.41,Envy II Hob Mixer with Round Swivel Spout Brushed Nickel PVD,9340379095216,
P2.06-2HSC.46,Envy II Hob Mixer with Round Swivel Spout Brushed Brass PVD,9340379095223,
P2.06-2HSC.48,Envy II Hob Mixer with Round Swivel Spout Brushed Nickel PVD,9340379095230,
P2.06-2HSC.50,Envy II Hob Mixer with Round Swivel Spout Fucile PVD,9340379004881,
P30.07-1HF,Envy 30 Kitchen Mixer with Straight Spout,9340379096855,
P30.07-1HF.02,Envy 30 Kitchen Mixer with Straight Spout Matt Black,9340379096862,
P30.07-1HF.41,Envy 30 Kitchen Mixer with Straight Spout Brushed Nickel PVD,9340379096879,
P30.07-1HF.46,Envy 30 Kitchen Mixer with Straight Spout Brushed Brass PVD,9340379096886,
P30.07-1HF.48,Envy 30 Kitchen Mixer with Straight Spout Matt Bronze PVD,9340379096893,
P30.07-1HF.50,Envy 30 Kitchen Mixer with Straight Spout Fucile PVD,9340379096909,
P30.07-1HR,Envy 30 Kitchen Mixer with Round Spout,9340379096794,
P30.07-1HR.02,Envy 30 Kitchen Mixer with Round Spout Matt Black,9340379096800,
P30.07-1HR.41,Envy 30 Kitchen Mixer with Round Spout Brushed Nickel PVD,9340379096817,
P30.07-1HR.46,Envy 30 Kitchen Mixer with Round Spout Brushed Brass PVD,9340379096824,
P30.07-1HR.48,Envy 30 Kitchen Mixer with Round Spout Matt Bronze PVD,9340379096831,
P30.07-1HR.50,Envy 30 Kitchen Mixer with Round Spout Fucile PVD,9340379096848,
P30.07-1HS,Envy 30 Kitchen Mixer with Square Spout,9340379096732,
P30.07-1HS.02,Envy 30 Kitchen Mixer with Square Spout Matt Black,9340379096749,
P30.07-1HS.41,Envy 30 Kitchen Mixer with Square Spout Brushed Nickel PVD,9340379096756,
P30.07-1HS.46,Envy 30 Kitchen Mixer with Square Spout Brushed Brass PVD,9340379096763,
P30.07-1HS.48,Envy 30 Kitchen Mixer with Square Spout Matt Bronze PVD,9340379096770,
P30.07-1HS.50,Envy 30 Kitchen Mixer with Square Spout Fucile PVD,9340379096787,
P2.08-D2W,Envy II Shower Column with Sliding Rail,9340379029518,
P2.08-D2W.02,Envy II Shower Column with Sliding Rail Matt Black,9340379004201,
P2.08-D2W.41,Envy II Shower Column with Sliding Rail Brushed Nickel PVD,9340379023646,
P2.08-D2W.46,Envy II Shower Column with Sliding Rail Brushed Brass PVD,9340379004218,
P2.08-D2W.48,Envy II Shower Column with Sliding Rail Matt Bronze PVD,9340379004232,
P2.08-D2W.50,Envy II Shower Column with Sliding Rail Fucile PVD,9340379004225,
P2.D04W-D,Dress Fittings for Envy II In-Line 2-Way Diverter,9340379023448,
P2.D04W-D.02,Dress Fittings for Envy II In-Line 2-Way Diverter Matt Black,9340379023455,
P2.D04W-D.41,Dress Fittings for Envy II In-Line 2-Way Diverter Brushed Nickel PVD,9340379023462,
P2.D04W-D.46,Dress Fittings for Envy II In-Line 2-Way Diverter Brushed Brass PVD,9340379023479,
P2.D04W-D.48,Dress Fittings for Envy II In-Line 2-Way Diverter Matt Bronze PVD,9340379023493,
P2.D04W-D.50,Dress Fittings for Envy II In-Line 2-Way Diverter Fucile PVD,9340379023486,
P2.F00H,Round Flange Kit for ENVY II Hob Basin Set,9340379098781,
P2.F00H.02,Round Flange Kit for ENVY II Hob Basin Set Matt Black,9340379098798,
P2.F00H.41,Round Flange Kit for ENVY II Hob Basin Set Brushed Nickel PVD,9340379098804,
P2.F00H.46,Round Flange Kit for ENVY II Hob Basin Set Brushed Brass PVD,9340379098811,
P2.F00H.48,Round Flange Kit for ENVY II Hob Basin Set Matt Bronze PVD,9340379098835,
P2.F00H.50,Round Flange Kit for ENVY II Hob Basin Set Fucile PVD,9340379098828,
P2.F00W,Round Flange for ENVY II Wall Top Assembly,9340379023233,
P2.F02W,Round Flange for ENVY II Wall Spout (55mm dia.),9340379022557,
P2.F02W.02,Round Flange for ENVY II Wall Spout (55mm dia.),9340379022564,
P2.F02W.41,Round Flange for ENVY II Wall Spout (55mm dia.),9340379022533,
P2.F02W.46,Round Flange for ENVY II Wall Spout (55mm dia.),9340379022502,
P2.F02W.48,Round Flange for ENVY II Wall Spout (55mm dia.),9340379022601,
P2.F02W.50,Round Flange for ENVY II Wall Spout (55mm dia.),9340379022540,
P2.F02W80,Round Flange for ENVY II Wall Spout (80mm dia.) ,9340379022519,
P2.F02W80.02,Round Flange for ENVY II Wall Spout (80mm dia.) ,9340379022595,
P2.F02W80.41,Round Flange for ENVY II Wall Spout (80mm dia.) ,9340379022526,
P2.F02W80.46,Round Flange for ENVY II Wall Spout (80mm dia.) ,9340379022465,
P2.F02W80.48,Round Flange for ENVY II Wall Spout (80mm dia.) ,9340379022410,
P2.F02W80.50,Round Flange for ENVY II Wall Spout (80mm dia.) ,9340379022427,
P2.HS-3,Envy II Hand Shower (3 Function),9340379023882,
P2.HS-3.41,Envy II Hand Shower (3 Function) Brushed Nickel PVD,9340379095360,
P2.HS-3.46,Envy II Hand Shower (3 Function) Brushed Brass PVD,9340379095414,
P2.HS-3.50,Envy II Hand Shower (3 Function) Fucile PVD,9340379098729,
P2.P01-2E,Back Plate For Elli II Wall Mixer with Envy II spout,9340379023752,
P2.P01-2E.02,Back Plate for Elli II Wall Mixer with Envy II Spout Matt Black,9340379023769,
P2.P01-2E.41,Back Plate for Elli II Wall Mixer with Envy II Spout Brushed Nickel,9340379023776,
P2.P01-2E.46,Back Plate for Elli II Wall Mixer with Envy II Spout Brushed Brass,9340379023783,
P2.P01-2E.48,Back Plate for Elli II Wall Mixer with Envy II Spout Matt Bronze PVD,9340379023790,
P2.P01-2E.50,Back Plate for Elli II Wall Mixer with Envy II Spout Fucile PVD,9340379023806,
P2.P01-2W,Back Plate for ENVY II Wall Mixer with 190mm Spout ,9340379022793,
P2.P01-2W.02,Back Plate for ENVY II Wall Mixer with 190mm Spout ,9340379022830,
P2.P01-2W.41,Back Plate for ENVY II Wall Mixer with 190mm Spout ,9340379022090,
P2.P01-2W.46,Back Plate for ENVY II Wall Mixer with 190mm Spout ,9340379022083,
P2.P01-2W.48,Back Plate for ENVY II Wall Mixer with 190mm Spout ,9340379022106,
P2.P01-2W.50,Back Plate for ENVY II Wall Mixer with 190mm Spout ,9340379022144,
P2.SA.1W,Envy II High Rise Wall Shower Arm,9340379029488,
P2.SA.1W.02,Envy II High Rise Wall Shower Arm Matt Black,9340379020461,
P2.SA.1W.41,Envy II High Rise Wall Shower Arm Brushed Nickel PVD,9340379020478,
P2.SA.1W.46,Envy II High Rise Wall Shower Arm Brushed Brass PVD,9340379020485,
P2.SA.1W.48,Envy II High Rise Wall Shower Arm Matt Bronze PVD,9340379020492,
P2.SA.1W.50,Envy II High Rise Wall Shower Arm Fucile PVD,9340379020508,
P2.SH.A245,Envy II Round Shower Head 245mm Chrome,9340379023844,
P2.SH.A245.02,Envy II Round Shower Head 245mm Matt Black,9340379004997,
P2.SH.A245.41,Envy II Round Shower Head 245mm Brushed Nickel PVD,9340379092925,
P2.SH.A245-5.41,Envy II Round Shower Head 245mm Brushed Nickel PVD,9340379095339,
P2.SH.A245.46,Envy II Round Shower Head 245mm Brushed Brass PVD,9340379093014,
P2.SH.A245-5.46,Envy II Round Shower Head 245mm Brushed Brass PVD,9340379095384,
P2.SH.A245.50,Envy II Round Shower Head 245mm Fucile PVD,9340379005048,
P2.SR,Envy II Sliding Rail with Hand Shower,9340379029501,
P2.SR.02,Envy II Sliding Rail with Hand Shower Matt Black,9340379020379,
P2.SR.41,Envy II Sliding Rail with Hand Shower Brushed Nickel PVD,9340379020386,
P2.SR.46,Envy II Sliding Rail with Hand Shower Brushed Brass PVD,9340379020393,
P2.SR.48,Envy II Sliding Rail with Hand Shower Matt Bronze PVD,9340379020409,
P2.SR.50,Envy II Sliding Rail with Hand Shower Fucile PVD,9340379020416,
PA110,Front Flush Concealed Cistern,9340379008896,
PA111,Front Flush Concealed Cistern (Pneumatic),9340379002504,
PA120,Front Flush Concealed Cistern with Metal Frame,9340379008889,
PA121,Front Flush Concealed Cistern with Metal Frame (Pneumatic),9340379002511,
PA130,Front/Top Flush Concealed Cistern,9340379008810,
PA132,Front/Top Flush Concealed Cistern Adj. Flush Pipe 500mm cable (Twin Button),9340379002559,
PA135,Front/Top Flush Concealed Cistern with Adjustable Flush Pipe,9340379009886,
PA136,Front/Top Flush Concealed Cistern with Adjustable Flush Pipe (Twin Button),9340379002535,
PA138,Front/Top Flush Concealed Cistern with Adjustable Flush Pipe (Twin Button),9340379010493,
PA140,Front/Top Flush Concealed Cistern with Metal Frame,9340379008803,
PA141,Front/Top Flush Concealed Cistern with Metal Frame (Twin Button),9340379002542,
PA220.40,Tondo Push Panel Pewter,9340379003969,
PA220.41,Tondo Push Panel Brushed Nickel PVD,9340379003952,
PA220.46,Tondo Push Panel Brushed Brass PVD,9340379003976,
PA220.48,Tondo Push Panel Matt Bronze PVD,9340379004324,
PA221,Tondo Push Panel Chrome,9340379008827,
PA222,Tondo Push Panel Satin Chrome,9340379008834,
PA223,Tondo Push Panel Chrome/Satin Chrome,9340379010509,
PA224,Tondo Push Panel Matt Black,9340379010523,
PA225,Tondo Push Panel White,9340379010547,
PA226,Tondo Push Panel Gold PVD,9340379010424,
PA227,Tondo Push Panel Satin Gold,9340379010431,
PA228,Tondo Push Panel Fucile,9340379004010,
PA230.22,Blade Push Panel Brushed Black Chrome PVD,9340379002641,
PA230.40,Blade Push Panel Pewter,9340379002580,
PA230.41,Blade Push Panel Brushed Nickel PVD,9340379003945,
PA230.46,Blade Push Panel Brushed Brass PVD,9340379003983,
PA231,Blade Push Panel Chrome,9340379008841,
PA232,Blade Push Panel Satin Chrome,9340379008858,
PA233,Blade Push Panel Chrome/Satin Chrome,9340379010516,
PA234,Blade Push Panel Matt Black,9340379010530,
PA235,Blade Push Panel White,9340379010554,
PA236,Blade Push Panel Gold PVD,9340379010462,
PA237,Blade Push Panel Satin Gold,9340379010479,
PA238,Blade Push Panel Fucile,9340379004027,
PA240,Push plate Chrome,9340379022908,
PA240.01,PUSH BUTTONS White,9340379022885,
PA240.02,Remote Twin Button Set for PA111/PA121 Matt Black,9340379007486,
PA240.41,Remote Twin Button Set for PA111/PA121 Brushed Nickel PVD,9340379007493,
PA240.46,Remote Twin Button Set for PA111/PA121 Brushed Brass PVD,9340379007509,
PA240.50,Remote Twin Button Set for PA111/PA121 Fucile,9340379007516,
PA241,Twin Button Set on Metal Plate for PA111/PA121 Chrome,9340379002689,
PA241.41,Twin Button Set on Metal Plate for PA111/PA121 Brushed Nickel,9340379002894,
PA241.43,Twin Button Set on Metal Plate for PA111/PA121 Polished Nickel,9340379004034,
